,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
293,0.0,0.0,1.0,0.0,09-09-2017 21:52:52,Key West bar owner: “I have a ringside seat” to Hurricane Irma https://t.co/YbDyN24AiL https://t.co/K2WTgXz4Xp,93,@CNN
294,0.0,0.0,1.0,0.0,09-09-2017 18:11:42,"""This is what a last minute decision looks like,"" says @DrewGriffinCNN as line forms outside of FL evacuation centre https://t.co/WoriSUGiIM",94,@CNN
295,0.0,0.0,1.0,0.0,09-09-2017 15:35:57,"RT @CNN_Oppmann: Irma has submerged the town of Caibarien, Cuba under several feet of water. https://t.co/qz4QwNdYak",95,@CNN
296,-0.1027,0.135,0.865,0.0,09-09-2017 10:32:57,"Would you pay $1,000 for the next iPhone?  https://t.co/B4UTgEzKVm https://t.co/H6Dnr59SS9",96,@CNN
297,-0.296,0.104,0.896,0.0,09-09-2017 04:30:20,"No storm on record, anywhere on the globe, has maintained winds 185mph or above for as long as #Irma… https://t.co/nOrspFiQGt",97,@CNN
298,-0.6124,0.174,0.826,0.0,09-09-2017 01:46:09,"The tiny Caribbean island of Barbuda was devastated by Hurricane Irma. Now, it’s bracing for another storm -- Jose… https://t.co/gvDeq2IDYj",98,@CNN
299,0.296,0.07,0.8,0.13,09-09-2017 00:13:09,"Florida Gov. Rick Scott warns that Hurricane #Irma is ""bigger, faster and stronger"" than Hurricane Andrew was… https://t.co/j3Kc3AOVAJ",99,@CNN
300,-0.2144,0.117,0.883,0.0,09-21-2017 15:03:23,"That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0,@FoxNews
301,0.0,0.0,1.0,0.0,09-21-2017 12:31:59,"Samantha Power sought to unmask Americans on almost daily basis, sources say https://t.co/FXOSFTFnFX",1,@FoxNews
302,-0.5267,0.145,0.855,0.0,09-21-2017 11:36:19,".@GovMikeHuckabee: ""We need to think about [Puerto Rico] because they're in a world of hurt and are going to be for… https://t.co/KEsBX7dtzA",2,@FoxNews
303,-0.34,0.179,0.821,0.0,09-21-2017 08:45:00,"Florida teacher was found with 2 drunk teens in car, police say https://t.co/CPSy9OvnoU",3,@FoxNews
304,0.0,0.0,1.0,0.0,09-21-2017 04:29:05,"On Twitter yesterday, President @realDonaldTrump assailed @billclinton and @HillaryClinton for their record on Nort… https://t.co/ZMOkGDmM8W",4,@FoxNews
305,0.0,0.0,1.0,0.0,09-21-2017 00:22:52,.@benshapiro: Keith Ellison 'The Last Person Who Should Be Making Holocaust References' https://t.co/6x3TU8fSaO,5,@FoxNews
306,0.0,0.0,1.0,0.0,09-20-2017 21:47:23,"Samantha Power sought to unmask Americans on almost daily basis, sources say https://t.co/FXOSFTFnFX",6,@FoxNews
307,0.4466,0.0,0.773,0.227,09-20-2017 20:36:30,NEWS ALERT: @POTUS holding bilateral meeting with Egyptian President El-Sisi. https://t.co/wwxE74QRfa,7,@FoxNews
308,0.0,0.0,1.0,0.0,09-20-2017 18:10:07,".@newtgingrich: @POTUS's @UN address reasserts patriotism and sovereignty 
https://t.co/PNrCWZVJt1",8,@FoxNews
309,0.3182,0.0,0.839,0.161,09-20-2017 17:22:54,.@PressSec on Kim Jong Un's 'Rocket Man' Nickname: 'A President Trump Original' https://t.co/rOqDJ42kmf,9,@FoxNews
310,-0.5267,0.175,0.825,0.0,09-20-2017 15:44:01,"BREAKING NEWS: Jake LaMotta, boxer immortalized by Robert De Niro in 'Raging Bull,' dies at 95
https://t.co/i5fpsLdZQX",10,@FoxNews
311,0.0,0.0,1.0,0.0,09-20-2017 14:29:05,".@BillCassidy: ""If somebody votes against our bill they're voting for ObamaCare."" https://t.co/gI8MSfWKlR",11,@FoxNews
312,0.4939,0.0,0.833,0.167,09-20-2017 12:57:49,.@LindseyGrahamSC on health care: This is a choice between socialism and federalism... @POTUS has done everything i… https://t.co/8RnuMlAoGe,12,@FoxNews
313,0.5267,0.0,0.793,0.207,09-20-2017 10:36:34,WATCH: @kilmeade &amp; @SecretaryZinke Get an Inside Look at the Statue of Liberty https://t.co/pbrbEhq2Pj,13,@FoxNews
314,0.0,0.0,1.0,0.0,09-20-2017 07:00:02,"Ahead of Hurricane Maria, NASCAR-employed airline evacuates US Virgin Islands https://t.co/EOsIrMPlbD",14,@FoxNews
315,0.3818,0.0,0.843,0.157,09-20-2017 02:45:48,".@GovMikeHuckabee: ""[President #Trump's] speech today was bold, and it was a mark of clarity."" #Hannity https://t.co/ymLAONJm6e",15,@FoxNews
316,0.0,0.0,1.0,0.0,09-19-2017 23:43:52,.@SenatorLankford previews public intel committee meeting with #Trump lawyer set for October. #TheStory https://t.co/RWXvqTcYTb,16,@FoxNews
